web-scraper-order,web-scraper-start-url,image-src,Infos,Infos-href,Nombre pièces,Nombre salle de bain,superficie,Adresse
"1740006384-1","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3059507_uploaded_image1_1618416648.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-point-e-3059507","1","2","72","Point E, Dakar, Sénégal"
"1740006388-2","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3059677_uploaded_image1_1618421643.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-hann-mariste-3059677","5","2","150 m2","Hann Bel-Air, Dakar, Sénégal"
"1740006391-3","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3059683_uploaded_image1_1618421910.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-apparemment-4-pieces-ngor-almadies-3059683","3","3","","Dakar, Sénégal"
"1740006397-4","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3059772_uploaded_image1_1618425614.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-fann-hock-3059772","1","1","1 m2","Sicap Liberté, Dakar, Sénégal"
"1740006400-5","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3060255_uploaded_image1_1618444356.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-05-pieces-point-e-3060255","5","5","296","Point E, Dakar, Sénégal"
"1740006403-6","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3060697_uploaded_image1_1618475796.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-point-e-3060697","3","2","150","Grand Dakar, Dakar, Sénégal"
"1740006407-7","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3060708_uploaded_image1_1618476187.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-3060708","3","3","200","Sicap Liberté, Dakar, Sénégal"
"1740006411-8","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3061001_uploaded_image1_1618485494.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-sipres-3061001","3","2","150","Ouest Foire, Dakar, Sénégal"
"1740006414-9","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3061012_uploaded_image1_1618485912.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-dieuppeul-derkle-3061012","5","4","200","Dieuppeul-Derklé, Dakar, Sénégal"
"1740006417-10","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3061052_uploaded_image1_1618486976.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sicap-foire-3061052","4","3","200","Sicap Liberté, Dakar, Sénégal"
"1740006422-11","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3061129_uploaded_image1_1618489220.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-chambres-salon-sicap-liberte-3061129","4","3","","Sicap Liberté, Dakar, Sénégal"
"1740006426-12","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3061155_uploaded_image1_1618489759.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-liberte-6-extension-3061155","4","3","","Sicap Liberté, Dakar, Sénégal"
"1740006429-13","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3061192_uploaded_image1_1618490417.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-ngor-3061192","5","3","","Ngor, Dakar, Sénégal"
"1740006433-14","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3061272_uploaded_image1_1618493367.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mermoz-sacre-coeur-3061272","4","4","150","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1740006438-15","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3061348_uploaded_image1_1618495952.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-ouest-foire-3061348","4","3","130","Ouest Foire, Dakar, Sénégal"
"1740006442-16","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3061999_uploaded_image1_1618520958.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-rufisque-3061999","3","3","","Rufisque, Sénégal"
"1740006446-17","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3062023_uploaded_image1_1618522605.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-3062023","4","3","200","Mamelles, Dakar, Sénégal"
"1740006450-18","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3062220_uploaded_image1_1618532390.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-mermoz-sacre-coeur-3062220","5","6","400","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1740006454-19","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3062606_uploaded_image1_1618564820.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-mamelles-3062606","6","3","180","Mamelles, Dakar, Sénégal"
"1740006458-20","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3062767_uploaded_image1_1618570015.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-pikine-3062767","3","1","","Pikine, Sénégal"
"1740006461-21","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3063075_uploaded_image1_1618578618.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-rufisque-3063075","150","","","Rufisque, Sénégal"
"1740006466-22","https://sn.coinafrique.com/categorie/appartements?page=119","https://images.coinafrique.com/thumb_3063846_uploaded_image1_1618608002.jpg","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-sicap-liberte-3063846","4","4","286","Sicap Liberté, Dakar, Sénégal"
