web-scraper-order,web-scraper-start-url,image-src,prix,adresse,superficie,Infos,Infos-href
"1740006442-1","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2695250_uploaded_image2_1602704314.jpeg","3 500 000 CFA","Patte d'Oie, Dakar, Sénégal","150 m2","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-2695250"
"1740006446-2","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2695658_uploaded_image1_1602715993.jpg","Prix sur demande","Dakar, Sénégal","160000 m2","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-16-hectares-diamniadio-2695658"
"1740006449-3","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2695688_uploaded_image1_1602716962.jpg","Prix sur demande","Dakar, Sénégal","3000 m2","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-3000-m-cite-keur-gorgui-2695688"
"1740006452-4","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2696651_uploaded_image1_1602762205.jpg","13 000 CFA","Mbour, Sénégal","83886","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-83886-m-mbour-2696651"
"1740006454-5","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2696706_uploaded_image1_1602764051.jpg","6 000 000 CFA","Saly, Sénégal","300","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-300m2-sly-joseph-2696706"
"1740006457-6","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2696866_uploaded_image1_1602767323.jpg","17 000 000 CFA","Keur Massar, Sénégal","165","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-165-m2-keur-massar-2696866"
"1740006462-7","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2696911_uploaded_image1_1602768350.jpg","1 700 000 CFA","Mbour, Sénégal","225","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-225-m2-diass-2696911"
"1740006465-8","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2697352_uploaded_image1_1602779661.jpg","7 000 000 CFA","Sebikotane, Sénégal","150 m2","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-2697352"
"1740006467-9","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2697357_uploaded_image1_1602779756.jpg","675 000 000 CFA","Dakar, Sénégal","500","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-500-m-fenetre-mermoz-2697357"
"1740006471-10","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2697415_uploaded_image1_1602781189.jpg","48 000 000 CFA","Ouest Foire, Dakar, Sénégal","150","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-ouest-foire-2697415"
"1740006473-11","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2697429_uploaded_image1_1602781526.jpg","47 000 000 CFA","Yoff, Dakar, Sénégal","168","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-168-m-yoff-2697429"
"1740006477-12","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2697445_uploaded_image1_1602781781.jpg","15 000 000 CFA","Keur Massar, Sénégal","160","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-160-m-keur-massar-2697445"
"1740006480-13","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2698114_uploaded_image1_1602807336.jpg","15 000 000 CFA","Saint Louis, Sénégal","1800","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-1800-m2-saint-louis-2698114"
"1740006483-14","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2698638_uploaded_image1_1602844037.jpg","3 000 000 000 CFA","Diamniadio, Sénégal","160000","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-16-ha-diamniadio-2698638"
"1740006487-15","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2698675_uploaded_image1_1602845051.jpg","Prix sur demande","Yoff, Dakar, Sénégal","","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-5777-m-yoff-2698675"
"1740006493-16","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2698893_uploaded_image1_1602849532.jpg","2 000 000 CFA","Diamniadio, Sénégal","300","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-300-m2-diamniadio-2698893"
"1740006497-17","https://sn.coinafrique.com/categorie/terrains?page=119","https://images.coinafrique.com/thumb_2699041_uploaded_image1_1602852852.jpg","3 500 000 CFA","Dakar Plateau, Dakar, Sénégal","150","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-dakar-plateau-2699041"
